date,agtype,amount
2019-01-01,Wheat,230
2019-01-01,Rice,397
2019-01-01,Soybean,331
2019-01-01,Corn,150
2019-01-02,Wheat,230
2019-01-02,Rice,396
2019-01-02,Soybean,336
2019-01-02,Corn,150
2019-01-03,Wheat,234
2019-01-03,Rice,396
2019-01-03,Soybean,338
2019-01-03,Corn,152
2019-01-04,Wheat,235
2019-01-04,Rice,396
2019-01-04,Soybean,341
2019-01-04,Corn,153
2019-01-07,Wheat,235
2019-01-07,Rice,396
2019-01-07,Soybean,342
2019-01-07,Corn,153
2019-01-08,Wheat,235
2019-01-08,Rice,397
2019-01-08,Soybean,340
2019-01-08,Corn,152
2019-01-09,Wheat,236
2019-01-09,Rice,396
2019-01-09,Soybean,342
2019-01-09,Corn,153
2019-01-10,Wheat,234
2019-01-10,Rice,397
2019-01-10,Soybean,336
2019-01-10,Corn,151
2019-01-11,Wheat,236
2019-01-11,Rice,396
2019-01-11,Soybean,337
2019-01-11,Corn,151
2019-01-14,Wheat,234
2019-01-14,Rice,396
2019-01-14,Soybean,335
2019-01-14,Corn,151
2019-01-15,Wheat,232
2019-01-15,Rice,396
2019-01-15,Soybean,331
2019-01-15,Corn,149
2019-01-16,Wheat,233
2019-01-16,Rice,396
2019-01-16,Soybean,331
2019-01-16,Corn,150
2019-01-17,Wheat,235
2019-01-17,Rice,396
2019-01-17,Soybean,336
2019-01-17,Corn,152
2019-01-18,Wheat,235
2019-01-18,Rice,396
2019-01-18,Soybean,340
2019-01-18,Corn,153
2019-01-21,Wheat,236
2019-01-21,Rice,397
2019-01-21,Soybean,338
2019-01-21,Corn,152
2019-01-22,Wheat,237
2019-01-22,Rice,396
2019-01-22,Soybean,337
2019-01-22,Corn,152
2019-01-23,Wheat,239
2019-01-23,Rice,397
2019-01-23,Soybean,339
2019-01-23,Corn,152
2019-01-24,Wheat,237
2019-01-24,Rice,396
2019-01-24,Soybean,339
2019-01-24,Corn,151
2019-01-25,Wheat,236
2019-01-25,Rice,396
2019-01-25,Soybean,343
2019-01-25,Corn,152
2019-01-28,Wheat,236
2019-01-28,Rice,396
2019-01-28,Soybean,342
2019-01-28,Corn,152
2019-01-29,Wheat,233
2019-01-29,Rice,396
2019-01-29,Soybean,340
2019-01-29,Corn,151
2019-01-30,Wheat,235
2019-01-30,Rice,396
2019-01-30,Soybean,341
2019-01-30,Corn,153
2019-01-31,Wheat,235
2019-01-31,Rice,396
2019-01-31,Soybean,339
2019-01-31,Corn,151
2019-02-01,Wheat,238
2019-02-01,Rice,396
2019-02-01,Soybean,340
2019-02-01,Corn,151
2019-02-04,Wheat,239
2019-02-04,Rice,396
2019-02-04,Soybean,340
2019-02-04,Corn,152
2019-02-05,Wheat,240
2019-02-05,Rice,396
2019-02-05,Soybean,341
2019-02-05,Corn,152
2019-02-06,Wheat,239
2019-02-06,Rice,396
2019-02-06,Soybean,341
2019-02-06,Corn,152
2019-02-07,Wheat,233
2019-02-07,Rice,395
2019-02-07,Soybean,338
2019-02-07,Corn,151
2019-02-08,Wheat,235
2019-02-08,Rice,396
2019-02-08,Soybean,339
2019-02-08,Corn,150
2019-02-11,Wheat,236
2019-02-11,Rice,404
2019-02-11,Soybean,335
2019-02-11,Corn,149
2019-02-12,Wheat,236
2019-02-12,Rice,404
2019-02-12,Soybean,340
2019-02-12,Corn,151
2019-02-13,Wheat,237
2019-02-13,Rice,404
2019-02-13,Soybean,339
2019-02-13,Corn,152
2019-02-14,Wheat,230
2019-02-14,Rice,404
2019-02-14,Soybean,335
2019-02-14,Corn,150
2019-02-15,Wheat,229
2019-02-15,Rice,405
2019-02-15,Soybean,336
2019-02-15,Corn,150
2019-02-18,Wheat,226
2019-02-18,Rice,404
2019-02-18,Soybean,335
2019-02-18,Corn,149
2019-02-19,Wheat,223
2019-02-19,Rice,404
2019-02-19,Soybean,334
2019-02-19,Corn,148
2019-02-20,Wheat,219
2019-02-20,Rice,404
2019-02-20,Soybean,334
2019-02-20,Corn,148
2019-02-21,Wheat,221
2019-02-21,Rice,404
2019-02-21,Soybean,337
2019-02-21,Corn,150
2019-02-22,Wheat,221
2019-02-22,Rice,404
2019-02-22,Soybean,337
2019-02-22,Corn,150
2019-02-25,Wheat,212
2019-02-25,Rice,405
2019-02-25,Soybean,338
2019-02-25,Corn,148
2019-02-26,Wheat,209
2019-02-26,Rice,404
2019-02-26,Soybean,335
2019-02-26,Corn,147
2019-02-27,Wheat,210
2019-02-27,Rice,404
2019-02-27,Soybean,335
2019-02-27,Corn,146
2019-02-28,Wheat,206
2019-02-28,Rice,404
2019-02-28,Soybean,332
2019-02-28,Corn,145
2019-03-01,Wheat,208
2019-03-01,Rice,404
2019-03-01,Soybean,338
2019-03-01,Corn,149
2019-03-04,Wheat,207
2019-03-04,Rice,405
2019-03-04,Soybean,339
2019-03-04,Corn,150
2019-03-05,Wheat,210
2019-03-05,Rice,405
2019-03-05,Soybean,338
2019-03-05,Corn,150
2019-03-06,Wheat,205
2019-03-06,Rice,404
2019-03-06,Soybean,334
2019-03-06,Corn,149
2019-03-07,Wheat,199
2019-03-07,Rice,405
2019-03-07,Soybean,334
2019-03-07,Corn,146
2019-03-08,Wheat,200
2019-03-08,Rice,404
2019-03-08,Soybean,332
2019-03-08,Corn,146
2019-03-11,Wheat,195
2019-03-11,Rice,404
2019-03-11,Soybean,330
2019-03-11,Corn,145
2019-03-12,Wheat,206
2019-03-12,Rice,404
2019-03-12,Soybean,332
2019-03-12,Corn,146
2019-03-13,Wheat,203
2019-03-13,Rice,404
2019-03-13,Soybean,334
2019-03-13,Corn,147
2019-03-14,Wheat,206
2019-03-14,Rice,405
2019-03-14,Soybean,333
2019-03-14,Corn,148
