date,price,collapse
1965-01-31,12,
1965-02-28,12,
1965-03-31,12,
1965-04-30,12,
1965-05-31,12,
1965-06-30,12,
1965-07-31,12,
1965-08-31,12,
1965-09-30,12,
1965-10-31,12,
1965-11-30,12,
1965-12-31,12,
1966-01-31,11,
1966-02-28,11,
1966-03-31,11,
1966-04-30,11,
1966-05-31,11,
1966-06-30,11,
1966-07-31,11,
1966-08-31,11,
1966-09-30,11,
1966-10-31,11,
1966-11-30,11,
1966-12-31,11,
1967-01-31,10,
1967-02-28,10,
1967-03-31,10,
1967-04-30,10,
1967-05-31,10,
1967-06-30,10,
1967-07-31,10,
1967-08-31,10,
1967-09-30,10,
1967-10-31,10,
1967-11-30,10,
1967-12-31,10,
1968-01-31,10,
1968-02-29,10,
1968-03-31,10,
1968-04-30,10,
1968-05-31,10,
1968-06-30,10,
1968-07-31,10,
1968-08-31,10,
1968-09-30,10,
1968-10-31,10,
1968-11-30,10,
1968-12-31,10,
1969-01-31,9,
1969-02-28,9,
1969-03-31,9,
1969-04-30,9,
1969-05-31,9,
1969-06-30,9,
1969-07-31,9,
1969-08-31,9,
1969-09-30,9,
1969-10-31,9,
1969-11-30,9,
1969-12-31,9,
1970-01-31,8,
1970-02-28,8,
1970-03-31,8,
1970-04-30,8,
1970-05-31,8,
1970-06-30,8,
1970-07-31,8,
1970-08-31,8,
1970-09-30,8,
1970-10-31,8,
1970-11-30,8,
1970-12-31,8,
1971-01-31,11,
1971-02-28,11,
1971-03-31,11,
1971-04-30,11,
1971-05-31,10,
1971-06-30,10,
1971-07-31,11,
1971-08-31,11,
1971-09-30,11,
1971-10-31,11,
1971-11-30,11,
1971-12-31,11,
1972-01-31,11,
1972-02-29,11,
1972-03-31,11,
1972-04-30,11,
1972-05-31,11,
1972-06-30,11,
1972-07-31,12,
1972-08-31,11,
1972-09-30,11,
1972-10-31,11,
1972-11-30,11,
1972-12-31,11,
1973-01-31,13,
1973-02-28,13,
1973-03-31,12,
1973-04-30,14,
1973-05-31,14,
1973-06-30,14,
1973-07-31,16,
1973-08-31,15,
1973-09-30,15,
1973-10-31,23,
1973-11-30,23,
1973-12-31,23,
1974-01-31,72,
1974-02-28,71,
1974-03-31,70,
1974-04-30,57,
1974-05-31,56,
1974-06-30,56,
1974-07-31,52,
1974-08-31,52,
1974-09-30,51,
1974-10-31,52,
1974-11-30,52,
1974-12-31,51,
1975-01-31,52,
1975-02-28,51,
1975-03-31,51,
1975-04-30,51,
1975-05-31,51,
1975-06-30,50,
1975-07-31,50,
1975-08-31,50,
1975-09-30,49,
1975-10-31,49,
1975-11-30,49,
1975-12-31,49,
1976-01-31,53,
1976-02-29,53,
1976-03-31,53,
1976-04-30,53,
1976-05-31,53,
1976-06-30,52,
1976-07-31,52,
1976-08-31,52,
1976-09-30,52,
1976-10-31,53,
1976-11-30,53,
1976-12-31,53,
1977-01-31,55,
1977-02-28,55,
1977-03-31,54,
1977-04-30,54,
1977-05-31,53,
1977-06-30,53,
1977-07-31,53,
1977-08-31,53,
1977-09-30,53,
1977-10-31,53,
1977-11-30,53,
1977-12-31,53,
1978-01-31,52,
1978-02-28,52,
1978-03-31,52,
1978-04-30,51,
1978-05-31,51,
1978-06-30,50,
1978-07-31,50,
1978-08-31,50,
1978-09-30,50,
1978-10-31,49,
1978-11-30,51,
1978-12-31,55,
1979-01-31,66,
1979-02-28,77,
1979-03-31,81,
1979-04-30,82,
1979-05-31,121,
1979-06-30,124,
1979-07-31,118,
1979-08-31,119,
1979-09-30,123,
1979-10-31,128,
1979-11-30,139,
1979-12-31,134,
1980-01-31,129,
1980-02-29,122,
1980-03-31,119,
1980-04-30,116,
1980-05-31,117,
1980-06-30,115,
1980-07-31,110,
1980-08-31,102,
1980-09-30,101,
1980-10-31,114,
1980-11-30,122,
1980-12-31,119,
1981-01-31,118,
1981-02-28,111,
1981-03-31,110,
1981-04-30,105,
1981-05-31,98,
1981-06-30,93,
1981-07-31,94,
1981-08-31,95,
1981-09-30,94,
1981-10-31,96,
1981-11-30,98,
1981-12-31,97,
1982-01-31,96,
1982-02-28,88,
1982-03-31,82,
1982-04-30,86,
1982-05-31,89,
1982-06-30,87,
1982-07-31,87,
1982-08-31,86,
1982-09-30,88,
1982-10-31,89,
1982-11-30,86,
1982-12-31,83,
1983-01-31,81,
1983-02-28,77,
1983-03-31,75,
1983-04-30,78,
1983-05-31,76,
1983-06-30,78,
1983-07-31,79,
1983-08-31,79,
1983-09-30,77,
